"objective","budget","k","k_bis","constraint","package.cost","package.deaths","package.che.10","package.che.25","package.E"
"delta.deaths",10000000,0,0,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0,0.0179222929963579,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0,0.0358445859927159,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0,0.0537668789890738,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0,0.0716891719854318,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0,0.0896114649817897,"<=",9448280.91328106,2824.01381194084,0.0132910686263967,0.0079379006678718,0.135093535903612
"delta.deaths",10000000,0,0.107533757978148,"<=",9448280.91328106,2824.01381194084,0.0132910686263967,0.0079379006678718,0.135093535903612
"delta.deaths",10000000,0,0.125456050974506,"<=",9448280.91328106,2824.01381194084,0.0132910686263967,0.0079379006678718,0.135093535903612
"delta.deaths",10000000,0,0.143378343970864,"<=",9039421.92232106,2718.69072324497,0.0130223651562078,0.00784712515013887,0.143937621349592
"delta.deaths",10000000,0,0.161300636967222,"<=",9866949.79669615,2566.43325882835,0.0136583047674463,0.00808162434211519,0.163856088861771
"delta.deaths",10000000,0,0.179222929963579,"<=",9120480.91570415,2335.25057202939,0.0129904781326289,0.00784766553375158,0.181886313530968
"delta.deaths",10000000,0,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0164951860961801,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0329903721923602,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0494855582885403,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0659807443847204,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0824759304809006,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0989711165770807,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.115466302673261,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.131961488769441,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.0179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.0358445859927159,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.0537668789890738,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.0716891719854318,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.0896114649817897,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.107533757978148,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.125456050974506,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.143378343970864,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.161300636967222,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.179222929963579,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.197145222959937,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.215067515956295,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.232989808952653,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.250912101949011,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.268834394945369,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.286756687941727,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.304678980938085,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",10000000,0.148456674865621,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",32500000,0,0,"<=",31403278.1460662,5122.53629881997,0.0166392515263834,0.00938055218098672,0.000270909713094271
"delta.deaths",32500000,0,0.0179222929963579,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0,0.0358445859927159,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0,0.0537668789890738,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0,0.0716891719854318,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0,0.0896114649817897,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0,0.107533757978148,"<=",30745771.1158518,4898.20386000424,0.0165010540834477,0.0093974988484577,0.108663388923665
"delta.deaths",32500000,0,0.125456050974506,"<=",28247340.2660675,4485.9073893252,0.0166795963735181,0.00948822402185748,0.186453311961231
"delta.deaths",32500000,0,0.143378343970864,"<=",28247340.2660675,4485.9073893252,0.0166795963735181,0.00948822402185748,0.186453311961231
"delta.deaths",32500000,0,0.161300636967222,"<=",28247340.2660675,4485.9073893252,0.0166795963735181,0.00948822402185748,0.186453311961231
"delta.deaths",32500000,0,0.179222929963579,"<=",28247340.2660675,4485.9073893252,0.0166795963735181,0.00948822402185748,0.186453311961231
"delta.deaths",32500000,0,0.197145222959937,"<=",27678303.4547139,4301.99624779513,0.0161677244280341,0.0093146387850062,0.198496902259281
"delta.deaths",32500000,0,0.215067515956295,"<=",32467927.6464298,4239.39502390647,0.0179050026510632,0.0091457769510227,0.215459559488118
"delta.deaths",32500000,0,0.232989808952653,"<=",32402122.1460099,4212.63668759634,0.0183518360042013,0.00951392025321631,0.234821864180473
"delta.deaths",32500000,0,0.250912101949011,"<=",32219246.4758633,4085.5736768624,0.0178572945763587,0.00912647077629696,0.252801100052065
"delta.deaths",32500000,0,0.268834394945369,"<=",31784293.2041931,3878.70047319441,0.0185201740122154,0.00973578849361685,0.288643723443415
"delta.deaths",32500000,0,0.286756687941727,"<=",31784293.2041931,3878.70047319441,0.0185201740122154,0.00973578849361685,0.288643723443415
"delta.deaths",32500000,0,0.304678980938085,"<=",32384124.2234104,3643.52157497455,0.0154323912869005,0.00701455925131452,0.308001507941209
"delta.deaths",32500000,0,0.322601273934443,"<=",0,0,0,0,0
"delta.deaths",32500000,0,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",32500000,0.0164951860961801,0,"<=",31403278.1460662,5122.53629881997,0.0166392515263834,0.00938055218098672,0.000270909713094271
"delta.deaths",32500000,0.0164951860961801,0.0179222929963579,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0.0164951860961801,0.0358445859927159,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0.0164951860961801,0.0537668789890738,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0.0164951860961801,0.0716891719854318,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0.0164951860961801,0.0896114649817897,"<=",31154630.1068118,5003.52694870011,0.0167697575536365,0.00948827436619063,0.0998193034776855
"delta.deaths",32500000,0.0164951860961801,0.107533757978148,"<=",30745771.1158518,4898.20386000424,0.0165010540834477,0.0093974988484577,0.108663388923665
"delta.deaths",32500000,0.0164951860961801,0.125456050974506,"<=",28247340.2660675,4485.9073893252,0.0166795963735181,0.00948822402185748,0.186453311961231
"delta.deaths",32500000,0.0164951860961801,0.143378343970864,"<=",28247340.2660675,4485.9073893252,0.0166795963735181,0.00948822402185748,0.186453311961231
"delta.deaths",32500000,0.0164951860961801,0.161300636967222,"<=",28247340.2660675,4485.9073893252,0.0166795963735181,0.00948822402185748,0.186453311961231
"delta.deaths",32500000,0.0164951860961801,0.179222929963579,"<=",28247340.2660675,4485.9073893252,0.0166795963735181,0.00948822402185748,0.186453311961231
"delta.deaths",32500000,0.0164951860961801,0.197145222959937,"<=",32467927.6464298,4239.39502390647,0.0179050026510632,0.0091457769510227,0.215459559488118
"delta.deaths",32500000,0.0164951860961801,0.215067515956295,"<=",32467927.6464298,4239.39502390647,0.0179050026510632,0.0091457769510227,0.215459559488118
"delta.deaths",32500000,0.0164951860961801,0.232989808952653,"<=",32402122.1460099,4212.63668759634,0.0183518360042013,0.00951392025321631,0.234821864180473
"delta.deaths",32500000,0.0164951860961801,0.250912101949011,"<=",32219246.4758633,4085.5736768624,0.0178572945763587,0.00912647077629696,0.252801100052065
"delta.deaths",32500000,0.0164951860961801,0.268834394945369,"<=",31784293.2041931,3878.70047319441,0.0185201740122154,0.00973578849361685,0.288643723443415
