"budget","package.deaths","package.che.10","package.E","int_n","packages_per_budget","interventions_per_package"
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,5,14,9
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,6,14,9
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,10,14,9
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,11,14,9
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,12,14,9
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,15,14,9
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,16,14,9
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,18,14,9
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,19,14,9
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,12,14,8
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,16,14,8
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,19,14,8
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,14,14,8
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,6,14,8
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,11,14,8
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,18,14,8
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,5,14,8
10000000,2739.12578129947,0.0127792177460112,0.142790246353485,18,14,7
10000000,2739.12578129947,0.0127792177460112,0.142790246353485,19,14,7
10000000,2739.12578129947,0.0127792177460112,0.142790246353485,12,14,7
10000000,2739.12578129947,0.0127792177460112,0.142790246353485,15,14,7
10000000,2739.12578129947,0.0127792177460112,0.142790246353485,6,14,7
10000000,2739.12578129947,0.0127792177460112,0.142790246353485,14,14,7
10000000,2739.12578129947,0.0127792177460112,0.142790246353485,5,14,7
10000000,2640.10267041078,0.0127791966809127,0.147137126201661,18,14,6
10000000,2640.10267041078,0.0127791966809127,0.147137126201661,5,14,6
10000000,2640.10267041078,0.0127791966809127,0.147137126201661,14,14,6
10000000,2640.10267041078,0.0127791966809127,0.147137126201661,12,14,6
10000000,2640.10267041078,0.0127791966809127,0.147137126201661,6,14,6
10000000,2640.10267041078,0.0127791966809127,0.147137126201661,19,14,6
10000000,2566.43325882835,0.0136583047674463,0.163856088861771,19,14,8
10000000,2566.43325882835,0.0136583047674463,0.163856088861771,18,14,8
10000000,2566.43325882835,0.0136583047674463,0.163856088861771,13,14,8
10000000,2566.43325882835,0.0136583047674463,0.163856088861771,11,14,8
10000000,2566.43325882835,0.0136583047674463,0.163856088861771,12,14,8
10000000,2566.43325882835,0.0136583047674463,0.163856088861771,5,14,8
10000000,2566.43325882835,0.0136583047674463,0.163856088861771,16,14,8
10000000,2566.43325882835,0.0136583047674463,0.163856088861771,6,14,8
10000000,2487.84520599416,0.0134151362921512,0.167055593713841,19,14,7
10000000,2487.84520599416,0.0134151362921512,0.167055593713841,13,14,7
10000000,2487.84520599416,0.0134151362921512,0.167055593713841,18,14,7
10000000,2487.84520599416,0.0134151362921512,0.167055593713841,12,14,7
10000000,2487.84520599416,0.0134151362921512,0.167055593713841,5,14,7
10000000,2487.84520599416,0.0134151362921512,0.167055593713841,16,14,7
10000000,2487.84520599416,0.0134151362921512,0.167055593713841,6,14,7
10000000,2382.52211729829,0.0131464328219624,0.17589967915982,6,14,6
10000000,2382.52211729829,0.0131464328219624,0.17589967915982,13,14,6
10000000,2382.52211729829,0.0131464328219624,0.17589967915982,12,14,6
10000000,2382.52211729829,0.0131464328219624,0.17589967915982,19,14,6
10000000,2382.52211729829,0.0131464328219624,0.17589967915982,18,14,6
10000000,2382.52211729829,0.0131464328219624,0.17589967915982,5,14,6
10000000,2335.25057202939,0.0129904781326289,0.181886313530968,19,14,7
10000000,2335.25057202939,0.0129904781326289,0.181886313530968,6,14,7
10000000,2335.25057202939,0.0129904781326289,0.181886313530968,12,14,7
10000000,2335.25057202939,0.0129904781326289,0.181886313530968,11,14,7
10000000,2335.25057202939,0.0129904781326289,0.181886313530968,18,14,7
10000000,2335.25057202939,0.0129904781326289,0.181886313530968,5,14,7
10000000,2335.25057202939,0.0129904781326289,0.181886313530968,7,14,7
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,8,14,5
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,6,14,5
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,5,14,5
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,13,14,5
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,7,14,5
10000000,2764.23652392886,0.0137337418360291,0.0835445959865821,10,14,8
10000000,2764.23652392886,0.0137337418360291,0.0835445959865821,19,14,8
10000000,2764.23652392886,0.0137337418360291,0.0835445959865821,18,14,8
10000000,2764.23652392886,0.0137337418360291,0.0835445959865821,11,14,8
10000000,2764.23652392886,0.0137337418360291,0.0835445959865821,12,14,8
10000000,2764.23652392886,0.0137337418360291,0.0835445959865821,16,14,8
