"budget","package.deaths","package.che.10","package.E","int_n","packages_per_budget","interventions_per_package","MAX_Health","MAX_FRP","MAX_Equity","distance_max_Health_CHE","distance_max_Health_Equity","distance_max_CHE_Equity"
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,5,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,6,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,10,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,11,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,12,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,15,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,16,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,18,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,19,14,9,1,NA,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,8,14,5,NA,NA,1,0.339628016625765,1.15298404042785,1.06260848131126
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,6,14,5,NA,NA,1,0.339628016625765,1.15298404042785,1.06260848131126
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,5,14,5,NA,NA,1,0.339628016625765,1.15298404042785,1.06260848131126
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,13,14,5,NA,NA,1,0.339628016625765,1.15298404042785,1.06260848131126
10000000,1483.72905286063,0.000451432569906055,0.188547550499683,7,14,5,NA,NA,1,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2360.17147188647,0.0152270192943786,0.130784706319239,5,14,8,NA,1,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2360.17147188647,0.0152270192943786,0.130784706319239,18,14,8,NA,1,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2360.17147188647,0.0152270192943786,0.130784706319239,4,14,8,NA,1,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2360.17147188647,0.0152270192943786,0.130784706319239,16,14,8,NA,1,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2360.17147188647,0.0152270192943786,0.130784706319239,12,14,8,NA,1,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2360.17147188647,0.0152270192943786,0.130784706319239,6,14,8,NA,1,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2360.17147188647,0.0152270192943786,0.130784706319239,19,14,8,NA,1,NA,0.339628016625765,1.15298404042785,1.06260848131126
10000000,2360.17147188647,0.0152270192943786,0.130784706319239,15,14,8,NA,1,NA,0.339628016625765,1.15298404042785,1.06260848131126
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,8,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,5,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,17,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,9,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,6,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,14,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,12,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,20,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,7,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,1,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,15,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,11,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,13,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,3,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,2,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,10,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,4,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,18,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,19,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
100000000,6010.64884658112,0.148456674865621,0.0834179946997741,16,24,20,1,1,NA,0,0.927284934848963,0.927284934848963
