"budget","package.deaths","package.che.10","package.E","int_n_list","no_int_n_list"
10000000,2739.12578129947,0.0127792177460112,0.142790246353485,"5, 6, 12, 14, 15, 18, 19","1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 16, 17, 20"
10000000,2764.23652392886,0.0137337418360291,0.0835445959865821,"5, 6, 10, 11, 12, 16, 18, 19","1, 2, 3, 4, 7, 8, 9, 13, 14, 15, 17, 20"
10000000,2824.01381194084,0.0132910686263967,0.135093535903612,"5, 6, 11, 12, 14, 16, 18, 19","1, 2, 3, 4, 7, 8, 9, 10, 13, 15, 17, 20"
10000000,2863.25963481754,0.0137337629011276,0.0791977161384057,"5, 6, 10, 11, 12, 15, 16, 18, 19","1, 2, 3, 4, 7, 8, 9, 13, 14, 17, 20"
32500000,2455.2653436573,0.0677067163156004,0.225317704436388,"5, 6, 7, 12, 13, 20","1, 2, 3, 4, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19"
32500000,2895.5195833397,0.0840583646133254,0.20933119556151,"4, 5, 6, 7, 11, 12, 13, 17, 18, 19","1, 2, 3, 8, 9, 10, 14, 15, 16, 20"
32500000,2994.54269422838,0.0840583856784239,0.204984315713333,"4, 5, 6, 7, 11, 12, 13, 15, 17, 18, 19","1, 2, 3, 8, 9, 10, 14, 16, 20"
32500000,3099.86578292425,0.0843270891486127,0.196140230267354,"4, 5, 6, 7, 11, 12, 13, 15, 16, 17, 18, 19","1, 2, 3, 8, 9, 10, 14, 20"
32500000,3110.16243457103,0.0832118225593553,0.218098279004373,"4, 5, 6, 7, 8, 11, 12, 13, 17, 18","1, 2, 3, 9, 10, 14, 15, 16, 19, 20"
32500000,3111.48882266679,0.0201873790798115,0.301872739001374,"3, 4, 5, 6, 7, 12, 13, 18, 19","1, 2, 8, 9, 10, 11, 14, 15, 16, 17, 20"
32500000,3127.92898321796,0.084349241163325,0.168790150145493,"4, 5, 6, 8, 11, 12, 13, 16, 17, 18, 19","1, 2, 3, 7, 9, 10, 14, 15, 20"
32500000,3252.12324734087,0.0836911495373743,0.176221762755174,"4, 5, 6, 7, 11, 12, 14, 15, 17, 18, 19","1, 2, 3, 8, 9, 10, 13, 16, 20"
32500000,3289.09998638967,0.0204305686202051,0.294326354301128,"3, 4, 5, 6, 7, 11, 12, 13, 15, 18, 19","1, 2, 8, 9, 10, 14, 16, 17, 20"
32500000,3301.20892861437,0.0816360980598518,0.215692155001846,"5, 6, 7, 12, 13, 14, 17, 18, 19","1, 2, 3, 4, 8, 9, 10, 11, 15, 16, 20"
32500000,3348.96428281326,0.0790602083451194,0.218659469353414,"5, 6, 7, 8, 11, 12, 13, 14, 17, 19","1, 2, 3, 4, 9, 10, 15, 16, 18, 20"
32500000,3366.51627460423,0.0832215365031235,0.211846546793033,"4, 5, 6, 7, 11, 12, 13, 14, 17, 18","1, 2, 3, 8, 9, 10, 15, 16, 19, 20"
32500000,3377.98284544397,0.0840902727020029,0.167035623531957,"4, 5, 6, 11, 12, 13, 14, 15, 17, 18, 19","1, 2, 3, 7, 8, 9, 10, 16, 20"
32500000,3394.42307508554,0.0206992720903939,0.285482268855149,"3, 4, 5, 6, 7, 11, 12, 13, 15, 16, 18, 19","1, 2, 8, 9, 10, 14, 17, 20"
