"int_n","objective","budget","fund"
1,"delta.deaths.UB",16631578.9473684,0
2,"delta.deaths.UB",16631578.9473684,0
3,"delta.deaths.UB",16631578.9473684,0
4,"delta.deaths.UB",16631578.9473684,0
5,"delta.deaths.UB",16631578.9473684,1
6,"delta.deaths.UB",16631578.9473684,1
7,"delta.deaths.UB",16631578.9473684,0
8,"delta.deaths.UB",16631578.9473684,0
9,"delta.deaths.UB",16631578.9473684,1
10,"delta.deaths.UB",16631578.9473684,1
11,"delta.deaths.UB",16631578.9473684,1
12,"delta.deaths.UB",16631578.9473684,1
13,"delta.deaths.UB",16631578.9473684,0
14,"delta.deaths.UB",16631578.9473684,1
15,"delta.deaths.UB",16631578.9473684,1
16,"delta.deaths.UB",16631578.9473684,1
17,"delta.deaths.UB",16631578.9473684,0
18,"delta.deaths.UB",16631578.9473684,1
19,"delta.deaths.UB",16631578.9473684,1
20,"delta.deaths.UB",16631578.9473684,0
1,"che.10.UB",16631578.9473684,0
2,"che.10.UB",16631578.9473684,0
3,"che.10.UB",16631578.9473684,0
4,"che.10.UB",16631578.9473684,0
5,"che.10.UB",16631578.9473684,1
6,"che.10.UB",16631578.9473684,1
7,"che.10.UB",16631578.9473684,0
8,"che.10.UB",16631578.9473684,0
9,"che.10.UB",16631578.9473684,0
10,"che.10.UB",16631578.9473684,0
11,"che.10.UB",16631578.9473684,1
12,"che.10.UB",16631578.9473684,0
13,"che.10.UB",16631578.9473684,0
14,"che.10.UB",16631578.9473684,0
15,"che.10.UB",16631578.9473684,0
16,"che.10.UB",16631578.9473684,0
17,"che.10.UB",16631578.9473684,1
18,"che.10.UB",16631578.9473684,1
19,"che.10.UB",16631578.9473684,1
20,"che.10.UB",16631578.9473684,0
1,"delta.deaths.npv",16631578.9473684,0
2,"delta.deaths.npv",16631578.9473684,0
3,"delta.deaths.npv",16631578.9473684,0
4,"delta.deaths.npv",16631578.9473684,0
5,"delta.deaths.npv",16631578.9473684,1
6,"delta.deaths.npv",16631578.9473684,1
7,"delta.deaths.npv",16631578.9473684,0
8,"delta.deaths.npv",16631578.9473684,0
9,"delta.deaths.npv",16631578.9473684,1
10,"delta.deaths.npv",16631578.9473684,1
11,"delta.deaths.npv",16631578.9473684,1
12,"delta.deaths.npv",16631578.9473684,1
13,"delta.deaths.npv",16631578.9473684,0
14,"delta.deaths.npv",16631578.9473684,1
15,"delta.deaths.npv",16631578.9473684,1
16,"delta.deaths.npv",16631578.9473684,1
17,"delta.deaths.npv",16631578.9473684,0
18,"delta.deaths.npv",16631578.9473684,1
19,"delta.deaths.npv",16631578.9473684,1
20,"delta.deaths.npv",16631578.9473684,0
1,"E",16631578.9473684,0
2,"E",16631578.9473684,0
3,"E",16631578.9473684,0
4,"E",16631578.9473684,0
5,"E",16631578.9473684,1
6,"E",16631578.9473684,1
7,"E",16631578.9473684,1
8,"E",16631578.9473684,1
9,"E",16631578.9473684,0
10,"E",16631578.9473684,0
11,"E",16631578.9473684,0
12,"E",16631578.9473684,1
13,"E",16631578.9473684,1
14,"E",16631578.9473684,0
15,"E",16631578.9473684,0
16,"E",16631578.9473684,0
17,"E",16631578.9473684,0
18,"E",16631578.9473684,1
19,"E",16631578.9473684,1
20,"E",16631578.9473684,0
1,"E.LB",16631578.9473684,0
2,"E.LB",16631578.9473684,0
3,"E.LB",16631578.9473684,1
4,"E.LB",16631578.9473684,0
5,"E.LB",16631578.9473684,0
6,"E.LB",16631578.9473684,0
7,"E.LB",16631578.9473684,0
8,"E.LB",16631578.9473684,0
9,"E.LB",16631578.9473684,0
10,"E.LB",16631578.9473684,0
11,"E.LB",16631578.9473684,0
12,"E.LB",16631578.9473684,0
13,"E.LB",16631578.9473684,0
14,"E.LB",16631578.9473684,0
15,"E.LB",16631578.9473684,0
16,"E.LB",16631578.9473684,0
17,"E.LB",16631578.9473684,0
18,"E.LB",16631578.9473684,0
19,"E.LB",16631578.9473684,0
20,"E.LB",16631578.9473684,0
1,"E.UB",16631578.9473684,0
2,"E.UB",16631578.9473684,0
3,"E.UB",16631578.9473684,0
4,"E.UB",16631578.9473684,0
5,"E.UB",16631578.9473684,1
6,"E.UB",16631578.9473684,1
7,"E.UB",16631578.9473684,1
8,"E.UB",16631578.9473684,1
9,"E.UB",16631578.9473684,1
10,"E.UB",16631578.9473684,1
11,"E.UB",16631578.9473684,1
12,"E.UB",16631578.9473684,0
13,"E.UB",16631578.9473684,1
14,"E.UB",16631578.9473684,0
15,"E.UB",16631578.9473684,1
16,"E.UB",16631578.9473684,0
17,"E.UB",16631578.9473684,0
18,"E.UB",16631578.9473684,0
19,"E.UB",16631578.9473684,1
20,"E.UB",16631578.9473684,0
1,"delta.deaths",21842105.2631579,0
2,"delta.deaths",21842105.2631579,0
3,"delta.deaths",21842105.2631579,0
4,"delta.deaths",21842105.2631579,0
5,"delta.deaths",21842105.2631579,1
6,"delta.deaths",21842105.2631579,1
7,"delta.deaths",21842105.2631579,0
8,"delta.deaths",21842105.2631579,1
9,"delta.deaths",21842105.2631579,1
10,"delta.deaths",21842105.2631579,1
11,"delta.deaths",21842105.2631579,1
12,"delta.deaths",21842105.2631579,1
13,"delta.deaths",21842105.2631579,1
14,"delta.deaths",21842105.2631579,1
15,"delta.deaths",21842105.2631579,0
16,"delta.deaths",21842105.2631579,1
17,"delta.deaths",21842105.2631579,0
18,"delta.deaths",21842105.2631579,1
19,"delta.deaths",21842105.2631579,1
20,"delta.deaths",21842105.2631579,0
1,"che.10",21842105.2631579,0
2,"che.10",21842105.2631579,0
3,"che.10",21842105.2631579,0
4,"che.10",21842105.2631579,0
5,"che.10",21842105.2631579,1
6,"che.10",21842105.2631579,1
7,"che.10",21842105.2631579,0
8,"che.10",21842105.2631579,0
9,"che.10",21842105.2631579,0
10,"che.10",21842105.2631579,0
11,"che.10",21842105.2631579,1
12,"che.10",21842105.2631579,1
13,"che.10",21842105.2631579,0
14,"che.10",21842105.2631579,0
15,"che.10",21842105.2631579,0
16,"che.10",21842105.2631579,1
17,"che.10",21842105.2631579,1
18,"che.10",21842105.2631579,1
19,"che.10",21842105.2631579,1
20,"che.10",21842105.2631579,0
1,"che.25",21842105.2631579,0
2,"che.25",21842105.2631579,0
3,"che.25",21842105.2631579,0
4,"che.25",21842105.2631579,0
5,"che.25",21842105.2631579,1
6,"che.25",21842105.2631579,1
7,"che.25",21842105.2631579,0
8,"che.25",21842105.2631579,0
9,"che.25",21842105.2631579,0
10,"che.25",21842105.2631579,0
11,"che.25",21842105.2631579,1
12,"che.25",21842105.2631579,1
13,"che.25",21842105.2631579,0
14,"che.25",21842105.2631579,0
15,"che.25",21842105.2631579,0
16,"che.25",21842105.2631579,1
17,"che.25",21842105.2631579,1
18,"che.25",21842105.2631579,1
19,"che.25",21842105.2631579,1
20,"che.25",21842105.2631579,0
1,"delta.deaths.LB",21842105.2631579,0
2,"delta.deaths.LB",21842105.2631579,0
3,"delta.deaths.LB",21842105.2631579,0
4,"delta.deaths.LB",21842105.2631579,0
5,"delta.deaths.LB",21842105.2631579,1
6,"delta.deaths.LB",21842105.2631579,1
7,"delta.deaths.LB",21842105.2631579,0
8,"delta.deaths.LB",21842105.2631579,1
9,"delta.deaths.LB",21842105.2631579,1
10,"delta.deaths.LB",21842105.2631579,1
11,"delta.deaths.LB",21842105.2631579,1
12,"delta.deaths.LB",21842105.2631579,1
13,"delta.deaths.LB",21842105.2631579,1
14,"delta.deaths.LB",21842105.2631579,1
15,"delta.deaths.LB",21842105.2631579,1
16,"delta.deaths.LB",21842105.2631579,1
17,"delta.deaths.LB",21842105.2631579,0
18,"delta.deaths.LB",21842105.2631579,1
19,"delta.deaths.LB",21842105.2631579,0
20,"delta.deaths.LB",21842105.2631579,0
1,"che.10.LB",21842105.2631579,0
2,"che.10.LB",21842105.2631579,0
3,"che.10.LB",21842105.2631579,0
4,"che.10.LB",21842105.2631579,0
5,"che.10.LB",21842105.2631579,1
6,"che.10.LB",21842105.2631579,1
7,"che.10.LB",21842105.2631579,0
8,"che.10.LB",21842105.2631579,0
9,"che.10.LB",21842105.2631579,0
10,"che.10.LB",21842105.2631579,0
11,"che.10.LB",21842105.2631579,1
12,"che.10.LB",21842105.2631579,1
13,"che.10.LB",21842105.2631579,0
14,"che.10.LB",21842105.2631579,0
15,"che.10.LB",21842105.2631579,0
16,"che.10.LB",21842105.2631579,1
17,"che.10.LB",21842105.2631579,1
18,"che.10.LB",21842105.2631579,1
19,"che.10.LB",21842105.2631579,1
20,"che.10.LB",21842105.2631579,0
1,"delta.deaths.UB",21842105.2631579,0
2,"delta.deaths.UB",21842105.2631579,0
3,"delta.deaths.UB",21842105.2631579,0
4,"delta.deaths.UB",21842105.2631579,0
5,"delta.deaths.UB",21842105.2631579,1
6,"delta.deaths.UB",21842105.2631579,1
7,"delta.deaths.UB",21842105.2631579,0
8,"delta.deaths.UB",21842105.2631579,1
9,"delta.deaths.UB",21842105.2631579,1
10,"delta.deaths.UB",21842105.2631579,1
11,"delta.deaths.UB",21842105.2631579,1
12,"delta.deaths.UB",21842105.2631579,1
13,"delta.deaths.UB",21842105.2631579,1
14,"delta.deaths.UB",21842105.2631579,1
15,"delta.deaths.UB",21842105.2631579,1
16,"delta.deaths.UB",21842105.2631579,1
17,"delta.deaths.UB",21842105.2631579,0
18,"delta.deaths.UB",21842105.2631579,1
19,"delta.deaths.UB",21842105.2631579,0
20,"delta.deaths.UB",21842105.2631579,0
1,"che.10.UB",21842105.2631579,0
2,"che.10.UB",21842105.2631579,0
3,"che.10.UB",21842105.2631579,0
4,"che.10.UB",21842105.2631579,0
5,"che.10.UB",21842105.2631579,1
6,"che.10.UB",21842105.2631579,1
7,"che.10.UB",21842105.2631579,0
8,"che.10.UB",21842105.2631579,0
9,"che.10.UB",21842105.2631579,0
10,"che.10.UB",21842105.2631579,0
11,"che.10.UB",21842105.2631579,1
12,"che.10.UB",21842105.2631579,1
13,"che.10.UB",21842105.2631579,0
14,"che.10.UB",21842105.2631579,0
15,"che.10.UB",21842105.2631579,0
16,"che.10.UB",21842105.2631579,1
17,"che.10.UB",21842105.2631579,1
18,"che.10.UB",21842105.2631579,1
19,"che.10.UB",21842105.2631579,1
20,"che.10.UB",21842105.2631579,0
1,"delta.deaths.npv",21842105.2631579,0
2,"delta.deaths.npv",21842105.2631579,0
3,"delta.deaths.npv",21842105.2631579,0
4,"delta.deaths.npv",21842105.2631579,0
5,"delta.deaths.npv",21842105.2631579,1
6,"delta.deaths.npv",21842105.2631579,1
7,"delta.deaths.npv",21842105.2631579,0
8,"delta.deaths.npv",21842105.2631579,1
9,"delta.deaths.npv",21842105.2631579,1
10,"delta.deaths.npv",21842105.2631579,1
11,"delta.deaths.npv",21842105.2631579,1
12,"delta.deaths.npv",21842105.2631579,1
13,"delta.deaths.npv",21842105.2631579,1
14,"delta.deaths.npv",21842105.2631579,1
15,"delta.deaths.npv",21842105.2631579,0
16,"delta.deaths.npv",21842105.2631579,1
17,"delta.deaths.npv",21842105.2631579,0
18,"delta.deaths.npv",21842105.2631579,1
19,"delta.deaths.npv",21842105.2631579,1
20,"delta.deaths.npv",21842105.2631579,0
1,"E",21842105.2631579,0
2,"E",21842105.2631579,0
3,"E",21842105.2631579,1
4,"E",21842105.2631579,0
5,"E",21842105.2631579,1
6,"E",21842105.2631579,1
7,"E",21842105.2631579,1
8,"E",21842105.2631579,0
9,"E",21842105.2631579,0
10,"E",21842105.2631579,0
11,"E",21842105.2631579,0
12,"E",21842105.2631579,0
13,"E",21842105.2631579,1
14,"E",21842105.2631579,0
15,"E",21842105.2631579,0
16,"E",21842105.2631579,0
17,"E",21842105.2631579,0
18,"E",21842105.2631579,0
19,"E",21842105.2631579,0
20,"E",21842105.2631579,0
1,"E.LB",21842105.2631579,0
2,"E.LB",21842105.2631579,0
3,"E.LB",21842105.2631579,1
4,"E.LB",21842105.2631579,0
5,"E.LB",21842105.2631579,0
6,"E.LB",21842105.2631579,0
7,"E.LB",21842105.2631579,0
8,"E.LB",21842105.2631579,0
9,"E.LB",21842105.2631579,0
10,"E.LB",21842105.2631579,0
11,"E.LB",21842105.2631579,0
12,"E.LB",21842105.2631579,0
13,"E.LB",21842105.2631579,1
14,"E.LB",21842105.2631579,0
15,"E.LB",21842105.2631579,0
16,"E.LB",21842105.2631579,0
17,"E.LB",21842105.2631579,0
18,"E.LB",21842105.2631579,0
19,"E.LB",21842105.2631579,0
20,"E.LB",21842105.2631579,0
1,"E.UB",21842105.2631579,0
2,"E.UB",21842105.2631579,1
3,"E.UB",21842105.2631579,0
4,"E.UB",21842105.2631579,0
5,"E.UB",21842105.2631579,1
6,"E.UB",21842105.2631579,1
7,"E.UB",21842105.2631579,1
8,"E.UB",21842105.2631579,1
9,"E.UB",21842105.2631579,1
10,"E.UB",21842105.2631579,1
11,"E.UB",21842105.2631579,1
12,"E.UB",21842105.2631579,0
13,"E.UB",21842105.2631579,1
14,"E.UB",21842105.2631579,0
15,"E.UB",21842105.2631579,1
16,"E.UB",21842105.2631579,1
17,"E.UB",21842105.2631579,0
18,"E.UB",21842105.2631579,1
19,"E.UB",21842105.2631579,1
20,"E.UB",21842105.2631579,0
1,"delta.deaths",27052631.5789474,0
2,"delta.deaths",27052631.5789474,0
3,"delta.deaths",27052631.5789474,0
4,"delta.deaths",27052631.5789474,1
5,"delta.deaths",27052631.5789474,1
6,"delta.deaths",27052631.5789474,1
7,"delta.deaths",27052631.5789474,1
8,"delta.deaths",27052631.5789474,1
9,"delta.deaths",27052631.5789474,1
10,"delta.deaths",27052631.5789474,1
11,"delta.deaths",27052631.5789474,1
12,"delta.deaths",27052631.5789474,1
13,"delta.deaths",27052631.5789474,1
14,"delta.deaths",27052631.5789474,1
15,"delta.deaths",27052631.5789474,0
16,"delta.deaths",27052631.5789474,1
17,"delta.deaths",27052631.5789474,0
18,"delta.deaths",27052631.5789474,1
19,"delta.deaths",27052631.5789474,1
20,"delta.deaths",27052631.5789474,0
1,"che.10",27052631.5789474,0
2,"che.10",27052631.5789474,0
3,"che.10",27052631.5789474,0
4,"che.10",27052631.5789474,1
5,"che.10",27052631.5789474,1
6,"che.10",27052631.5789474,1
7,"che.10",27052631.5789474,0
8,"che.10",27052631.5789474,0
9,"che.10",27052631.5789474,0
10,"che.10",27052631.5789474,1
11,"che.10",27052631.5789474,1
12,"che.10",27052631.5789474,1
13,"che.10",27052631.5789474,0
14,"che.10",27052631.5789474,0
15,"che.10",27052631.5789474,0
16,"che.10",27052631.5789474,1
17,"che.10",27052631.5789474,1
18,"che.10",27052631.5789474,1
19,"che.10",27052631.5789474,1
20,"che.10",27052631.5789474,0
1,"che.25",27052631.5789474,0
2,"che.25",27052631.5789474,0
3,"che.25",27052631.5789474,0
4,"che.25",27052631.5789474,1
5,"che.25",27052631.5789474,1
6,"che.25",27052631.5789474,1
7,"che.25",27052631.5789474,0
8,"che.25",27052631.5789474,1
9,"che.25",27052631.5789474,0
10,"che.25",27052631.5789474,0
11,"che.25",27052631.5789474,1
12,"che.25",27052631.5789474,1
13,"che.25",27052631.5789474,0
14,"che.25",27052631.5789474,0
15,"che.25",27052631.5789474,0
16,"che.25",27052631.5789474,1
17,"che.25",27052631.5789474,1
18,"che.25",27052631.5789474,1
19,"che.25",27052631.5789474,1
20,"che.25",27052631.5789474,0
1,"delta.deaths.LB",27052631.5789474,0
2,"delta.deaths.LB",27052631.5789474,0
3,"delta.deaths.LB",27052631.5789474,0
4,"delta.deaths.LB",27052631.5789474,0
5,"delta.deaths.LB",27052631.5789474,1
6,"delta.deaths.LB",27052631.5789474,1
7,"delta.deaths.LB",27052631.5789474,1
8,"delta.deaths.LB",27052631.5789474,1
9,"delta.deaths.LB",27052631.5789474,1
10,"delta.deaths.LB",27052631.5789474,1
11,"delta.deaths.LB",27052631.5789474,1
12,"delta.deaths.LB",27052631.5789474,1
13,"delta.deaths.LB",27052631.5789474,1
14,"delta.deaths.LB",27052631.5789474,1
15,"delta.deaths.LB",27052631.5789474,1
16,"delta.deaths.LB",27052631.5789474,1
17,"delta.deaths.LB",27052631.5789474,0
18,"delta.deaths.LB",27052631.5789474,1
19,"delta.deaths.LB",27052631.5789474,1
20,"delta.deaths.LB",27052631.5789474,0
1,"che.10.LB",27052631.5789474,0
2,"che.10.LB",27052631.5789474,0
3,"che.10.LB",27052631.5789474,0
4,"che.10.LB",27052631.5789474,1
5,"che.10.LB",27052631.5789474,1
6,"che.10.LB",27052631.5789474,1
7,"che.10.LB",27052631.5789474,0
8,"che.10.LB",27052631.5789474,0
9,"che.10.LB",27052631.5789474,0
10,"che.10.LB",27052631.5789474,1
11,"che.10.LB",27052631.5789474,1
12,"che.10.LB",27052631.5789474,1
13,"che.10.LB",27052631.5789474,0
14,"che.10.LB",27052631.5789474,0
15,"che.10.LB",27052631.5789474,0
16,"che.10.LB",27052631.5789474,1
17,"che.10.LB",27052631.5789474,1
18,"che.10.LB",27052631.5789474,1
19,"che.10.LB",27052631.5789474,1
20,"che.10.LB",27052631.5789474,0
1,"delta.deaths.UB",27052631.5789474,0
2,"delta.deaths.UB",27052631.5789474,0
3,"delta.deaths.UB",27052631.5789474,0
4,"delta.deaths.UB",27052631.5789474,1
5,"delta.deaths.UB",27052631.5789474,1
6,"delta.deaths.UB",27052631.5789474,1
7,"delta.deaths.UB",27052631.5789474,1
8,"delta.deaths.UB",27052631.5789474,1
9,"delta.deaths.UB",27052631.5789474,1
10,"delta.deaths.UB",27052631.5789474,1
11,"delta.deaths.UB",27052631.5789474,1
12,"delta.deaths.UB",27052631.5789474,1
13,"delta.deaths.UB",27052631.5789474,1
14,"delta.deaths.UB",27052631.5789474,1
15,"delta.deaths.UB",27052631.5789474,0
16,"delta.deaths.UB",27052631.5789474,1
17,"delta.deaths.UB",27052631.5789474,0
18,"delta.deaths.UB",27052631.5789474,1
19,"delta.deaths.UB",27052631.5789474,1
20,"delta.deaths.UB",27052631.5789474,0
1,"che.10.UB",27052631.5789474,0
2,"che.10.UB",27052631.5789474,0
3,"che.10.UB",27052631.5789474,0
4,"che.10.UB",27052631.5789474,0
5,"che.10.UB",27052631.5789474,1
6,"che.10.UB",27052631.5789474,1
7,"che.10.UB",27052631.5789474,0
8,"che.10.UB",27052631.5789474,0
9,"che.10.UB",27052631.5789474,0
10,"che.10.UB",27052631.5789474,0
11,"che.10.UB",27052631.5789474,1
12,"che.10.UB",27052631.5789474,1
13,"che.10.UB",27052631.5789474,0
14,"che.10.UB",27052631.5789474,0
15,"che.10.UB",27052631.5789474,0
16,"che.10.UB",27052631.5789474,0
17,"che.10.UB",27052631.5789474,0
18,"che.10.UB",27052631.5789474,1
19,"che.10.UB",27052631.5789474,0
20,"che.10.UB",27052631.5789474,1
1,"delta.deaths.npv",27052631.5789474,0
2,"delta.deaths.npv",27052631.5789474,0
3,"delta.deaths.npv",27052631.5789474,0
4,"delta.deaths.npv",27052631.5789474,1
5,"delta.deaths.npv",27052631.5789474,1
6,"delta.deaths.npv",27052631.5789474,1
7,"delta.deaths.npv",27052631.5789474,1
8,"delta.deaths.npv",27052631.5789474,1
9,"delta.deaths.npv",27052631.5789474,1
10,"delta.deaths.npv",27052631.5789474,1
11,"delta.deaths.npv",27052631.5789474,1
12,"delta.deaths.npv",27052631.5789474,1
13,"delta.deaths.npv",27052631.5789474,1
14,"delta.deaths.npv",27052631.5789474,1
15,"delta.deaths.npv",27052631.5789474,0
16,"delta.deaths.npv",27052631.5789474,1
17,"delta.deaths.npv",27052631.5789474,0
18,"delta.deaths.npv",27052631.5789474,1
19,"delta.deaths.npv",27052631.5789474,1
20,"delta.deaths.npv",27052631.5789474,0
1,"E",27052631.5789474,0
2,"E",27052631.5789474,0
3,"E",27052631.5789474,1
4,"E",27052631.5789474,0
5,"E",27052631.5789474,1
6,"E",27052631.5789474,1
7,"E",27052631.5789474,1
8,"E",27052631.5789474,0
9,"E",27052631.5789474,0
10,"E",27052631.5789474,0
11,"E",27052631.5789474,0
12,"E",27052631.5789474,1
13,"E",27052631.5789474,1
14,"E",27052631.5789474,0
15,"E",27052631.5789474,0
16,"E",27052631.5789474,0
17,"E",27052631.5789474,0
18,"E",27052631.5789474,1
19,"E",27052631.5789474,0
20,"E",27052631.5789474,0
1,"E.LB",27052631.5789474,0
2,"E.LB",27052631.5789474,0
3,"E.LB",27052631.5789474,1
4,"E.LB",27052631.5789474,0
5,"E.LB",27052631.5789474,0
6,"E.LB",27052631.5789474,0
7,"E.LB",27052631.5789474,0
8,"E.LB",27052631.5789474,0
9,"E.LB",27052631.5789474,0
10,"E.LB",27052631.5789474,0
11,"E.LB",27052631.5789474,0
12,"E.LB",27052631.5789474,0
13,"E.LB",27052631.5789474,1
14,"E.LB",27052631.5789474,0
15,"E.LB",27052631.5789474,0
16,"E.LB",27052631.5789474,0
17,"E.LB",27052631.5789474,0
18,"E.LB",27052631.5789474,0
19,"E.LB",27052631.5789474,0
20,"E.LB",27052631.5789474,0
1,"E.UB",27052631.5789474,0
2,"E.UB",27052631.5789474,1
3,"E.UB",27052631.5789474,0
4,"E.UB",27052631.5789474,1
5,"E.UB",27052631.5789474,1
6,"E.UB",27052631.5789474,1
7,"E.UB",27052631.5789474,1
8,"E.UB",27052631.5789474,1
9,"E.UB",27052631.5789474,1
10,"E.UB",27052631.5789474,1
11,"E.UB",27052631.5789474,1
12,"E.UB",27052631.5789474,1
13,"E.UB",27052631.5789474,1
14,"E.UB",27052631.5789474,0
15,"E.UB",27052631.5789474,1
16,"E.UB",27052631.5789474,0
17,"E.UB",27052631.5789474,0
18,"E.UB",27052631.5789474,0
19,"E.UB",27052631.5789474,1
20,"E.UB",27052631.5789474,0
1,"delta.deaths",32263157.8947368,0
2,"delta.deaths",32263157.8947368,1
3,"delta.deaths",32263157.8947368,0
4,"delta.deaths",32263157.8947368,1
5,"delta.deaths",32263157.8947368,1
6,"delta.deaths",32263157.8947368,1
7,"delta.deaths",32263157.8947368,1
8,"delta.deaths",32263157.8947368,1
9,"delta.deaths",32263157.8947368,1
10,"delta.deaths",32263157.8947368,1
11,"delta.deaths",32263157.8947368,1
12,"delta.deaths",32263157.8947368,1
13,"delta.deaths",32263157.8947368,1
14,"delta.deaths",32263157.8947368,1
15,"delta.deaths",32263157.8947368,1
16,"delta.deaths",32263157.8947368,1
17,"delta.deaths",32263157.8947368,0
18,"delta.deaths",32263157.8947368,1
19,"delta.deaths",32263157.8947368,1
20,"delta.deaths",32263157.8947368,0
1,"che.10",32263157.8947368,0
2,"che.10",32263157.8947368,0
3,"che.10",32263157.8947368,0
4,"che.10",32263157.8947368,1
5,"che.10",32263157.8947368,1
6,"che.10",32263157.8947368,1
7,"che.10",32263157.8947368,0
8,"che.10",32263157.8947368,0
9,"che.10",32263157.8947368,0
10,"che.10",32263157.8947368,1
11,"che.10",32263157.8947368,1
12,"che.10",32263157.8947368,1
13,"che.10",32263157.8947368,1
14,"che.10",32263157.8947368,0
15,"che.10",32263157.8947368,1
16,"che.10",32263157.8947368,1
17,"che.10",32263157.8947368,1
18,"che.10",32263157.8947368,1
19,"che.10",32263157.8947368,1
20,"che.10",32263157.8947368,0
1,"che.25",32263157.8947368,0
2,"che.25",32263157.8947368,0
3,"che.25",32263157.8947368,0
4,"che.25",32263157.8947368,1
5,"che.25",32263157.8947368,1
6,"che.25",32263157.8947368,1
7,"che.25",32263157.8947368,0
8,"che.25",32263157.8947368,0
9,"che.25",32263157.8947368,0
10,"che.25",32263157.8947368,1
11,"che.25",32263157.8947368,1
12,"che.25",32263157.8947368,1
13,"che.25",32263157.8947368,0
14,"che.25",32263157.8947368,0
15,"che.25",32263157.8947368,1
16,"che.25",32263157.8947368,1
17,"che.25",32263157.8947368,1
18,"che.25",32263157.8947368,1
19,"che.25",32263157.8947368,1
20,"che.25",32263157.8947368,0
1,"delta.deaths.LB",32263157.8947368,0
2,"delta.deaths.LB",32263157.8947368,1
3,"delta.deaths.LB",32263157.8947368,0
4,"delta.deaths.LB",32263157.8947368,1
5,"delta.deaths.LB",32263157.8947368,1
6,"delta.deaths.LB",32263157.8947368,1
7,"delta.deaths.LB",32263157.8947368,1
8,"delta.deaths.LB",32263157.8947368,1
9,"delta.deaths.LB",32263157.8947368,1
10,"delta.deaths.LB",32263157.8947368,1
11,"delta.deaths.LB",32263157.8947368,1
12,"delta.deaths.LB",32263157.8947368,1
13,"delta.deaths.LB",32263157.8947368,1
14,"delta.deaths.LB",32263157.8947368,1
15,"delta.deaths.LB",32263157.8947368,1
16,"delta.deaths.LB",32263157.8947368,1
17,"delta.deaths.LB",32263157.8947368,0
18,"delta.deaths.LB",32263157.8947368,1
19,"delta.deaths.LB",32263157.8947368,1
20,"delta.deaths.LB",32263157.8947368,0
1,"che.10.LB",32263157.8947368,0
2,"che.10.LB",32263157.8947368,0
3,"che.10.LB",32263157.8947368,0
4,"che.10.LB",32263157.8947368,1
5,"che.10.LB",32263157.8947368,1
6,"che.10.LB",32263157.8947368,1
7,"che.10.LB",32263157.8947368,0
8,"che.10.LB",32263157.8947368,0
9,"che.10.LB",32263157.8947368,0
10,"che.10.LB",32263157.8947368,1
11,"che.10.LB",32263157.8947368,1
12,"che.10.LB",32263157.8947368,1
13,"che.10.LB",32263157.8947368,1
14,"che.10.LB",32263157.8947368,0
15,"che.10.LB",32263157.8947368,1
16,"che.10.LB",32263157.8947368,1
17,"che.10.LB",32263157.8947368,1
18,"che.10.LB",32263157.8947368,1
19,"che.10.LB",32263157.8947368,1
20,"che.10.LB",32263157.8947368,0
1,"delta.deaths.UB",32263157.8947368,0
2,"delta.deaths.UB",32263157.8947368,1
3,"delta.deaths.UB",32263157.8947368,0
4,"delta.deaths.UB",32263157.8947368,1
5,"delta.deaths.UB",32263157.8947368,1
6,"delta.deaths.UB",32263157.8947368,1
7,"delta.deaths.UB",32263157.8947368,1
8,"delta.deaths.UB",32263157.8947368,1
9,"delta.deaths.UB",32263157.8947368,1
10,"delta.deaths.UB",32263157.8947368,1
11,"delta.deaths.UB",32263157.8947368,1
12,"delta.deaths.UB",32263157.8947368,1
13,"delta.deaths.UB",32263157.8947368,1
14,"delta.deaths.UB",32263157.8947368,1
15,"delta.deaths.UB",32263157.8947368,1
16,"delta.deaths.UB",32263157.8947368,1
17,"delta.deaths.UB",32263157.8947368,0
18,"delta.deaths.UB",32263157.8947368,1
19,"delta.deaths.UB",32263157.8947368,1
20,"delta.deaths.UB",32263157.8947368,0
1,"che.10.UB",32263157.8947368,0
2,"che.10.UB",32263157.8947368,0
3,"che.10.UB",32263157.8947368,0
4,"che.10.UB",32263157.8947368,1
5,"che.10.UB",32263157.8947368,1
6,"che.10.UB",32263157.8947368,1
7,"che.10.UB",32263157.8947368,0
8,"che.10.UB",32263157.8947368,0
9,"che.10.UB",32263157.8947368,0
10,"che.10.UB",32263157.8947368,0
11,"che.10.UB",32263157.8947368,1
12,"che.10.UB",32263157.8947368,1
13,"che.10.UB",32263157.8947368,0
14,"che.10.UB",32263157.8947368,0
15,"che.10.UB",32263157.8947368,1
16,"che.10.UB",32263157.8947368,1
17,"che.10.UB",32263157.8947368,0
18,"che.10.UB",32263157.8947368,1
19,"che.10.UB",32263157.8947368,1
20,"che.10.UB",32263157.8947368,1
1,"delta.deaths.npv",32263157.8947368,0
2,"delta.deaths.npv",32263157.8947368,1
3,"delta.deaths.npv",32263157.8947368,0
4,"delta.deaths.npv",32263157.8947368,1
5,"delta.deaths.npv",32263157.8947368,1
6,"delta.deaths.npv",32263157.8947368,1
7,"delta.deaths.npv",32263157.8947368,1
8,"delta.deaths.npv",32263157.8947368,1
9,"delta.deaths.npv",32263157.8947368,1
10,"delta.deaths.npv",32263157.8947368,1
11,"delta.deaths.npv",32263157.8947368,1
12,"delta.deaths.npv",32263157.8947368,1
