"objective","budget","package.deaths","package.che.10","package.che.25","package.deaths.LB","package.che.10.LB","package.deaths.UB","package.che.10.UB","package.deaths.npv","package.E","package.E.LB","package.E.UB"
"che.10",6210526.31578947,2122,0.0129877017537493,0.00784710511433389,1408,0.0106912596749064,2849,0.0153980646229806,2039,0.136890685242841,-0.251808802411387,0.221233695416116
"che.25",6210526.31578947,2122,0.0129877017537493,0.00784710511433389,1408,0.0106912596749064,2849,0.0153980646229806,2039,0.136890685242841,-0.251808802411387,0.221233695416116
"delta.deaths.LB",6210526.31578947,2101,0.0123849137112777,0.00741858824062794,1435,0.0101801158675008,2869,0.0146715165128977,2050,0.123515014921635,-0.256346056873045,0.19210447940251
"che.10.LB",6210526.31578947,2122,0.0129877017537493,0.00784710511433389,1408,0.0106912596749064,2849,0.0153980646229806,2039,0.136890685242841,-0.251808802411387,0.221233695416116
"delta.deaths.UB",6210526.31578947,1908,0.00472653597287977,0.00334271233985154,1016,0.00386097861298196,2944,0.00563141911639428,1780,0.0452147248617302,-0.316966515235966,0.279646767767748
"che.10.UB",6210526.31578947,2122,0.0129877017537493,0.00784710511433389,1408,0.0106912596749064,2849,0.0153980646229806,2039,0.136890685242841,-0.251808802411387,0.221233695416116
"delta.deaths.npv",6210526.31578947,2101,0.0123849137112777,0.00741858824062794,1435,0.0101801158675008,2869,0.0146715165128977,2050,0.123515014921635,-0.256346056873045,0.19210447940251
"E",6210526.31578947,1144,0.0000495330263978775,0.0000191911882454577,516,0.000030945806360405,1918,0.0000810482222818605,1068,0.152738061434774,-0.274598863617571,0.233504431403768
"E.LB",6210526.31578947,339,0.000401899543508177,0.000143743710048369,190,0.00040185154416215,505,0.000401908397964207,252,0.0358094890649089,0.00891805033314359,0.037644882775749
"E.UB",6210526.31578947,1888,0.00433936054090719,0.00334201246602048,1139,0.0035551840464159,2729,0.00514927580696206,1761,0.00308272018846427,-0.38058554374944,0.337087292506697
"delta.deaths",11421052.6315789,3235,0.0128969137258272,0.00741935849459713,2088,0.0105914739915993,4516,0.0153012846896934,3031,0.0860599472181056,-0.339460099816958,0.256348239175668
"che.10",11421052.6315789,2635,0.015925733523558,0.00921746237972023,1625,0.0132381459860816,3622,0.0188010985475711,2552,0.0697623176426904,-0.258174157266994,0.234256971521602
"che.25",11421052.6315789,2439,0.0154701877696737,0.00922344214004085,1609,0.012875117876919,3356,0.0182349312275729,2311,0.127585201467169,-0.316521279076014,0.287671562552588
